agency_cd,site_no,datetime,tz_cd,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius","Temperature, water, degrees Celsius"," Salinity, water, unfiltered, parts per thousand","Gage height, feet",,
USGS,2172053,1/1/21 0:00,EST,3650,11.9,1.9,7.74,,
USGS,2172053,1/1/21 0:15,EST,3260,11.9,1.7,7.39,,
USGS,2172053,1/1/21 0:30,EST,3130,11.9,1.6,7.06,,
USGS,2172053,1/1/21 0:45,EST,2750,11.9,1.4,6.75,,
USGS,2172053,1/1/21 1:00,EST,2260,11.8,1.2,6.45,,
USGS,2172053,1/1/21 1:15,EST,1850,11.8,0.9,6.12,,
USGS,2172053,1/1/21 1:30,EST,1750,11.8,0.9,5.8,,
USGS,2172053,1/1/21 1:45,EST,1360,11.8,0.7,5.52,,
USGS,2172053,1/1/21 2:00,EST,1150,11.8,0.6,5.29,,
USGS,2172053,1/1/21 2:15,EST,946,11.8,0.5,5.04,,
USGS,2172053,1/1/21 2:30,EST,709,11.9,0.3,4.82,,
USGS,2172053,1/1/21 2:45,EST,642,11.9,0.3,4.67,,
USGS,2172053,1/1/21 3:00,EST,584,11.8,0.3,4.53,,
USGS,2172053,1/1/21 3:15,EST,518,11.8,0.2,4.46,,
USGS,2172053,1/1/21 3:30,EST,508,11.8,0.2,4.4,,
USGS,2172053,1/1/21 3:45,EST,466,11.8,0.2,4.38,,
USGS,2172053,1/1/21 4:00,EST,417,11.7,0.2,4.44,,
USGS,2172053,1/1/21 4:15,EST,410,11.7,0.2,4.58,,
USGS,2172053,1/1/21 4:30,EST,395,11.7,0.2,4.74,,
USGS,2172053,1/1/21 4:45,EST,383,11.7,0.2,5.02,,
USGS,2172053,1/1/21 5:00,EST,385,11.7,0.2,5.33,,
USGS,2172053,1/1/21 5:15,EST,375,11.7,0.2,5.67,,
USGS,2172053,1/1/21 5:30,EST,382,11.7,0.2,6.03,,
USGS,2172053,1/1/21 5:45,EST,373,11.7,0.2,6.41,,
USGS,2172053,1/1/21 6:00,EST,371,11.7,0.2,6.72,,
USGS,2172053,1/1/21 6:15,EST,369,11.6,0.2,7.03,,
USGS,2172053,1/1/21 6:30,EST,459,11.7,0.2,7.37,,
USGS,2172053,1/1/21 6:45,EST,500,11.7,0.2,7.73,,
USGS,2172053,1/1/21 7:00,EST,467,11.7,0.2,8.01,,
USGS,2172053,1/1/21 7:15,EST,438,11.7,0.2,8.27,,
USGS,2172053,1/1/21 7:30,EST,576,11.8,0.3,8.6,,
USGS,2172053,1/1/21 7:45,EST,659,11.8,0.3,8.84,,
USGS,2172053,1/1/21 8:00,EST,793,11.8,0.4,9.08,,
USGS,2172053,1/1/21 8:15,EST,1080,11.8,0.5,9.26,,
USGS,2172053,1/1/21 8:30,EST,1450,11.9,0.7,9.41,,
USGS,2172053,1/1/21 8:45,EST,1740,11.9,0.9,9.56,,
USGS,2172053,1/1/21 9:00,EST,2330,11.9,1.2,9.7,,
USGS,2172053,1/1/21 9:15,EST,2760,11.9,1.4,9.81,,
USGS,2172053,1/1/21 9:30,EST,4140,12,2.2,9.88,,
USGS,2172053,1/1/21 9:45,EST,5200,12,2.8,9.98,,
USGS,2172053,1/1/21 10:00,EST,6500,12,3.5,10.03,,
USGS,2172053,1/1/21 10:15,EST,8010,12.1,4.4,10.12,,
USGS,2172053,1/1/21 10:30,EST,9410,12.1,5.3,10.14,,
USGS,2172053,1/1/21 10:45,EST,10800,12.2,6.1,10.11,,
USGS,2172053,1/1/21 11:00,EST,11400,12.2,6.5,10.07,,
