agency_cd,site_no,datetime,tz_cd,"Gage height, feet"," Temperature, water, degrees Celsius, TOP","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, TOP"," Dissolved oxygen, water, unfiltered, milligrams per liter, TOP","Temperature, water, degrees Celsius, BOTTOM","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, BOTTOM","Dissolved oxygen, water, unfiltered, milligrams per liter, BOTTOM"," Salinity, water, unfiltered, parts per thousand, TOP"," Salinity, water, unfiltered, parts per thousand, BOTTOM","Gage height, feet, [ELEVATION NAVD88]",,,
USGS,217206935,1/1/21 0:00,EST,11.59,12.6,27900,9.1,12.6,29300,9,17,18,,,,
USGS,217206935,1/1/21 0:15,EST,11.19,12.7,27700,9.1,12.7,29100,9,17,18,,,,
USGS,217206935,1/1/21 0:30,EST,10.83,12.7,27000,9.1,12.7,28200,9,17,17,,,,
USGS,217206935,1/1/21 0:45,EST,10.47,12.6,27300,9.1,12.6,28800,8.9,17,18,,,,
USGS,217206935,1/1/21 1:00,EST,10.15,12.6,26600,9.1,12.6,27100,9,16,17,,,,
USGS,217206935,1/1/21 1:15,EST,9.9,12.7,26100,9.1,12.7,27100,8.9,16,17,,,,
USGS,217206935,1/1/21 1:30,EST,9.59,12.7,25800,9,12.7,26600,9,16,16,,,,
USGS,217206935,1/1/21 1:45,EST,9.42,12.7,25200,9,12.7,26200,8.9,15,16,,,,
USGS,217206935,1/1/21 2:00,EST,9.22,12.6,24800,9.1,12.6,26400,8.9,15,16,,,,
USGS,217206935,1/1/21 2:15,EST,9.06,12.6,24900,9,12.6,27700,8.9,15,17,,,,
USGS,217206935,1/1/21 2:30,EST,8.97,12.6,25300,9,12.6,26300,8.9,15,16,,,,
USGS,217206935,1/1/21 2:45,EST,8.89,12.6,24500,9,12.6,27000,8.9,15,17,,,,
USGS,217206935,1/1/21 3:00,EST,8.89,12.6,24400,9,12.6,26700,8.9,15,16,,,,
USGS,217206935,1/1/21 3:15,EST,8.94,12.6,23500,9,12.5,26500,8.9,14,16,,,,
USGS,217206935,1/1/21 3:30,EST,9.06,12.5,23300,9,12.6,26200,8.9,14,16,,,,
USGS,217206935,1/1/21 3:45,EST,9.21,12.5,23100,9,12.5,25500,8.9,14,16,,,,
USGS,217206935,1/1/21 4:00,EST,9.42,12.5,23400,9,12.6,25200,8.9,14,15,,,,
USGS,217206935,1/1/21 4:15,EST,9.69,12.5,22500,9,12.6,25200,8.9,14,15,,,,
USGS,217206935,1/1/21 4:30,EST,9.98,12.6,24300,9,12.6,26100,8.8,15,16,,,,
USGS,217206935,1/1/21 4:45,EST,10.32,12.6,24700,9,12.5,28500,8.8,15,18,,,,
USGS,217206935,1/1/21 5:00,EST,10.64,12.6,25000,9,12.6,28300,8.9,15,17,,,,
USGS,217206935,1/1/21 5:15,EST,11.02,12.6,25700,9,12.5,27500,8.9,16,17,,,,
USGS,217206935,1/1/21 5:30,EST,11.4,12.6,25700,9,12.5,28600,8.9,16,18,,,,
USGS,217206935,1/1/21 5:45,EST,11.76,12.6,26600,9,12.6,29100,8.9,16,18,,,,
