agency_cd,site_no,datetime,tz_cd,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius","Dissolved oxygen, water, unfiltered, milligrams per liter","Temperature, water, degrees Celsius","Gage height, feet",,
USGS,2172050,1/1/21 0:00,EST,308,9.6,11.4,16.73,,
USGS,2172050,1/1/21 0:15,EST,312,9.6,11.4,16.54,,
USGS,2172050,1/1/21 0:30,EST,294,9.6,11.4,16.34,,
USGS,2172050,1/1/21 0:45,EST,278,9.5,11.4,16.15,,
USGS,2172050,1/1/21 1:00,EST,269,9.5,11.4,15.95,,
USGS,2172050,1/1/21 1:15,EST,275,9.5,11.4,15.74,,
USGS,2172050,1/1/21 1:30,EST,260,9.6,11.4,15.51,,
USGS,2172050,1/1/21 1:45,EST,202,9.6,11.4,15.31,,
USGS,2172050,1/1/21 2:00,EST,195,9.5,11.4,15.06,,
USGS,2172050,1/1/21 2:15,EST,176,9.5,11.4,14.85,,
USGS,2172050,1/1/21 2:30,EST,167,9.5,11.4,14.65,,
USGS,2172050,1/1/21 2:45,EST,157,9.5,11.4,14.43,,
USGS,2172050,1/1/21 3:00,EST,137,9.5,11.3,14.2,,
USGS,2172050,1/1/21 3:15,EST,128,9.5,11.3,14.02,,
USGS,2172050,1/1/21 3:30,EST,121,9.5,11.3,13.8,,
USGS,2172050,1/1/21 3:45,EST,110,9.5,11.3,13.64,,
USGS,2172050,1/1/21 4:00,EST,110,9.6,11.3,13.47,,
USGS,2172050,1/1/21 4:15,EST,104,9.6,11.3,13.37,,
USGS,2172050,1/1/21 4:30,EST,102,9.6,11.3,13.3,,
USGS,2172050,1/1/21 4:45,EST,98,9.6,11.3,13.26,,
USGS,2172050,1/1/21 5:00,EST,96,9.6,11.3,13.26,,
USGS,2172050,1/1/21 5:15,EST,94,9.6,11.3,13.36,,
USGS,2172050,1/1/21 5:30,EST,91,9.6,11.2,13.53,,
USGS,2172050,1/1/21 5:45,EST,92,9.5,11.3,13.78,,
USGS,2172050,1/1/21 6:00,EST,91,9.5,11.3,14.09,,
USGS,2172050,1/1/21 6:15,EST,91,9.5,11.3,14.41,,
USGS,2172050,1/1/21 6:30,EST,91,9.4,11.3,14.7,,
USGS,2172050,1/1/21 6:45,EST,91,9.3,11.3,14.97,,
USGS,2172050,1/1/21 7:00,EST,91,9.3,11.3,15.25,,
USGS,2172050,1/1/21 7:15,EST,93,9.3,11.3,15.51,,
USGS,2172050,1/1/21 7:30,EST,92,9.4,11.3,15.73,,
USGS,2172050,1/1/21 7:45,EST,98,9.4,11.3,15.95,,
USGS,2172050,1/1/21 8:00,EST,104,9.4,11.4,16.18,,
USGS,2172050,1/1/21 8:15,EST,119,9.4,11.3,16.37,,
USGS,2172050,1/1/21 8:30,EST,130,9.4,11.4,16.54,,
USGS,2172050,1/1/21 8:45,EST,168,9.5,11.4,16.72,,
USGS,2172050,1/1/21 9:00,EST,183,9.5,11.4,16.84,,
USGS,2172050,1/1/21 9:15,EST,188,9.5,11.4,16.98,,
USGS,2172050,1/1/21 9:30,EST,195,9.5,11.4,17.09,,
USGS,2172050,1/1/21 9:45,EST,206,9.5,11.5,17.2,,
USGS,2172050,1/1/21 10:00,EST,213,9.5,11.6,17.31,,
USGS,2172050,1/1/21 10:15,EST,226,9.6,11.6,17.4,,
USGS,2172050,1/1/21 10:30,EST,233,9.6,11.7,17.49,,
USGS,2172050,1/1/21 10:45,EST,244,9.6,11.7,17.55,,
USGS,2172050,1/1/21 11:00,EST,255,9.6,11.7,17.63,,
USGS,2172050,1/1/21 11:15,EST,265,9.6,11.7,17.67,,
USGS,2172050,1/1/21 11:30,EST,269,9.6,11.7,17.7,,
USGS,2172050,1/1/21 11:45,EST,283,9.6,11.8,17.71,,
USGS,2172050,1/1/21 12:00,EST,303,9.6,11.8,17.69,,
USGS,2172050,1/1/21 12:15,EST,316,9.6,11.8,17.63,,
USGS,2172050,1/1/21 12:30,EST,327,9.6,11.9,17.52,,
USGS,2172050,1/1/21 12:45,EST,340,9.6,11.9,17.43,,
USGS,2172050,1/1/21 13:00,EST,320,9.6,11.9,17.2,,
USGS,2172050,1/1/21 13:15,EST,310,9.6,12,17.02,,
