agency_cd,site_no,datetime,tz_cd,"Gage height, feet",gage.elevation.ft,,
USGS,21720368,1/1/21 0:00,EST,8.18,,,
USGS,21720368,1/1/21 0:15,EST,8.15,,,
USGS,21720368,1/1/21 0:30,EST,8.03,,,
USGS,21720368,1/1/21 0:45,EST,7.89,,,
USGS,21720368,1/1/21 1:00,EST,7.82,,,
USGS,21720368,1/1/21 1:15,EST,7.69,,,
USGS,21720368,1/1/21 1:30,EST,7.44,,,
USGS,21720368,1/1/21 1:45,EST,7.15,,,
USGS,21720368,1/1/21 2:00,EST,6.94,,,
USGS,21720368,1/1/21 2:15,EST,6.92,,,
USGS,21720368,1/1/21 2:30,EST,6.62,,,
USGS,21720368,1/1/21 2:45,EST,6.21,,,
USGS,21720368,1/1/21 3:00,EST,6.18,,,
USGS,21720368,1/1/21 3:15,EST,5.82,,,
USGS,21720368,1/1/21 3:30,EST,5.62,,,
USGS,21720368,1/1/21 3:45,EST,5.43,,,
USGS,21720368,1/1/21 4:00,EST,5.23,,,
USGS,21720368,1/1/21 4:15,EST,4.9,,,
USGS,21720368,1/1/21 4:30,EST,4.83,,,
USGS,21720368,1/1/21 4:45,EST,4.6,,,
USGS,21720368,1/1/21 5:00,EST,4.37,,,
USGS,21720368,1/1/21 5:15,EST,4.28,,,
USGS,21720368,1/1/21 5:30,EST,4.22,,,
USGS,21720368,1/1/21 5:45,EST,4.2,,,
USGS,21720368,1/1/21 6:00,EST,4.21,,,
USGS,21720368,1/1/21 6:15,EST,4.44,,,
USGS,21720368,1/1/21 6:30,EST,4.61,,,
USGS,21720368,1/1/21 6:45,EST,4.89,,,
USGS,21720368,1/1/21 7:00,EST,5.26,,,
USGS,21720368,1/1/21 7:15,EST,5.59,,,
USGS,21720368,1/1/21 7:30,EST,5.73,,,
USGS,21720368,1/1/21 7:45,EST,6.08,,,
USGS,21720368,1/1/21 8:00,EST,6.2,,,
USGS,21720368,1/1/21 8:15,EST,6.47,,,
USGS,21720368,1/1/21 8:30,EST,6.75,,,
USGS,21720368,1/1/21 8:45,EST,6.92,,,
USGS,21720368,1/1/21 9:00,EST,7.07,,,
USGS,21720368,1/1/21 9:15,EST,7.21,,,
USGS,21720368,1/1/21 9:30,EST,7.29,,,
USGS,21720368,1/1/21 9:45,EST,7.44,,,
USGS,21720368,1/1/21 10:00,EST,7.54,,,
USGS,21720368,1/1/21 10:15,EST,7.55,,,
USGS,21720368,1/1/21 10:30,EST,7.74,,,
USGS,21720368,1/1/21 10:45,EST,7.83,,,
USGS,21720368,1/1/21 11:00,EST,7.91,,,
